 date          ar1_mean
2001-04-09  1.007786e-03
2001-04-10 -1.439365e-05
2001-04-11 -1.040232e-03
2001-04-12  4.050875e-04
2001-04-16 -7.141346e-04
2001-04-17  1.478090e-03
2001-04-18  2.040692e-04
2001-04-19 -1.795434e-03
2001-04-20 -8.746865e-04
2001-04-23  9.979039e-05
2001-04-24  1.043972e-03
2001-04-25  1.020802e-03
2001-04-26 -5.643782e-04
2001-04-27  9.368628e-04
2001-04-30  1.732134e-03
2001-05-01  2.783335e-04
2001-05-02 -7.170428e-04
2001-05-03  8.539538e-04
2001-05-04  1.299598e-03
2001-05-07 -5.913768e-04
2001-05-08  2.965422e-04
2001-05-09  2.730121e-04
2001-05-10  1.503859e-03
2001-05-11  8.478957e-04
2001-05-14  9.570967e-04
2001-05-15  1.003489e-03
2001-05-16  8.806412e-04
2001-05-17  1.403405e-04
2001-05-18  1.174203e-03
2001-05-21  6.774681e-04
2001-05-22  2.445243e-04
2001-05-23 -2.020896e-04
2001-05-24  9.610427e-04
2001-05-25 -4.623631e-04
2001-05-29  1.059997e-03
2001-05-30  9.369860e-04
2001-05-31  1.251086e-03
2001-06-01  6.385793e-04
2001-06-04 -6.833606e-07
2001-06-05  3.966571e-04
2001-06-06 -3.388197e-04
2001-06-07  7.580609e-04
2001-06-08 -5.641834e-05
2001-06-11  8.844851e-04
2001-06-12  1.185729e-03
2001-06-13  6.540698e-04
2001-06-14  1.362043e-03
2001-06-15  1.590261e-03
2001-06-18  1.115899e-03
2001-06-19  1.266615e-03
2001-06-20  3.844412e-04
2001-06-21 -5.403922e-04
2001-06-22  3.989553e-04
2001-06-25  1.179749e-03
2001-06-26  6.221308e-04
2001-06-27 -7.511541e-05
2001-06-28  9.420905e-05
2001-06-29 -2.170232e-04
2001-07-02  4.980087e-04
2001-07-03  1.875843e-03
2001-07-05  7.026997e-04
2001-07-06  1.684428e-03
2001-07-09  1.984866e-03
2001-07-10  8.448305e-04
2001-07-11  1.329377e-03
2001-07-12 -5.510641e-04
2001-07-13 -2.265759e-03
2001-07-16  7.703739e-04
2001-07-17  7.178941e-04
2001-07-18  2.932464e-04
2001-07-19  1.290994e-03
2001-07-20 -4.381501e-04
2001-07-23  2.398857e-03
2001-07-24  1.775080e-03
2001-07-25  1.066933e-03
2001-07-26 -2.803580e-05
2001-07-27  1.131661e-03
2001-07-30  1.268857e-03
2001-07-31  4.426050e-04
