date;ret
27/08/2012;2.388233e-03
28/08/2012;-7.743676e-04
29/08/2012;7.420859e-04
30/08/2012;-4.884462e-03
31/08/2012;3.783603e-03
04/09/2012;-5.183892e-04
05/09/2012;3.016127e-03
06/09/2012;2.079401e-03
07/09/2012;-1.410761e-03
10/09/2012;-2.170075e-03
11/09/2012;2.693107e-05
12/09/2012;-1.555553e-03
13/09/2012;-8.551445e-04
14/09/2012;1.030497e-03
17/09/2012;2.515538e-03
18/09/2012;-4.363154e-03
19/09/2012;-1.709670e-03
20/09/2012;2.497550e-04
21/09/2012;3.764093e-03
24/09/2012;-1.007599e-03
25/09/2012;-6.784887e-03
26/09/2012;-6.983162e-03
27/09/2012;2.975612e-03
28/09/2012;1.367383e-03
01/10/2012;-6.049136e-03
02/10/2012;-6.952016e-03
03/10/2012;-5.657698e-03
04/10/2012;3.644836e-03
05/10/2012;5.965384e-03
08/10/2012;4.498352e-03
09/10/2012;1.908455e-03
10/10/2012;1.718570e-03
11/10/2012;-4.845650e-04
12/10/2012;7.764142e-03
15/10/2012;6.962387e-03
16/10/2012;-2.800784e-04
17/10/2012;-1.504933e-03
18/10/2012;3.911986e-04
19/10/2012;-3.843433e-04
22/10/2012;-4.055741e-03
23/10/2012;1.383038e-03
24/10/2012;-5.407967e-04
25/10/2012;2.680233e-03
26/10/2012;3.875594e-04
31/10/2012;8.305919e-04
01/11/2012;5.353806e-03
02/11/2012;-1.943862e-03
05/11/2012;-7.932190e-03
06/11/2012;-3.120362e-05
07/11/2012;5.087920e-03
08/11/2012;1.925763e-04
09/11/2012;1.869084e-03
12/11/2012;8.180027e-04
13/11/2012;3.680307e-04
14/11/2012;7.229145e-04
15/11/2012;-5.733392e-03
16/11/2012;-2.440196e-03
19/11/2012;3.015698e-03
20/11/2012;-5.650721e-03
21/11/2012;7.765513e-04
23/11/2012;3.479387e-03
26/11/2012;3.424108e-03
27/11/2012;-5.156303e-04
28/11/2012;1.523603e-03
29/11/2012;4.689381e-03
30/11/2012;-4.334942e-03
03/12/2012;8.622255e-03
04/12/2012;3.437632e-03
05/12/2012;5.988284e-04
06/12/2012;-4.292677e-03
07/12/2012;-2.630368e-04
10/12/2012;-2.597953e-03
11/12/2012;-6.250141e-04
12/12/2012;3.117762e-03
13/12/2012;-3.065642e-03
14/12/2012;-9.845883e-04
17/12/2012;-2.053596e-03
18/12/2012;-1.377556e-03
19/12/2012;-1.029129e-03
20/12/2012;2.855847e-03
21/12/2012;-1.459444e-03
24/12/2012;1.888305e-04
26/12/2012;9.387582e-04
27/12/2012;-7.483529e-03
28/12/2012;4.095554e-03
31/12/2012;1.351857e-03
02/01/2013;-1.370833e-03
03/01/2013;-9.958312e-04
04/01/2013;-8.629544e-04
07/01/2013;1.697359e-03
08/01/2013;-2.263073e-03
09/01/2013;2.186921e-03
10/01/2013;-1.634205e-03
11/01/2013;8.589435e-04
14/01/2013;-2.559273e-03
15/01/2013;6.674087e-03
16/01/2013;2.046345e-03
17/01/2013;1.069645e-04
18/01/2013;-3.161642e-04
22/01/2013;1.334230e-03
23/01/2013;4.226233e-04
24/01/2013;-4.909157e-03
25/01/2013;1.017332e-03
28/01/2013;5.492442e-04
29/01/2013;-9.239051e-04
30/01/2013;9.958667e-04
31/01/2013;-6.729083e-04
01/02/2013;1.319040e-03
04/02/2013;2.133505e-03
05/02/2013;1.445286e-03
06/02/2013;-1.594707e-03
