ISOA3;Country;latitude;longitude;COD_PAIS
SLV;El Salvador;13.794185;-88.89653;687
SMR;San Marino;43.94236;12.457777;697
SOM;Somalia;5.152149;46.199616;748
SPM;Saint Pierre and Miquelon;46.941936;-56.27111;700
SRB;Serbia;44.016521;21.005859;737
SSD;South Sudan;12.862807;30.217636;760
STP;Sao Tome and Principe;;;720
SUR;Suriname;3.919305;-56.027783;770
SVK;Slovakia;48.669026;19.699024;247
SVN;Slovenia;46.151241;14.995463;246
SWE;Sweden;60.128161;18.643501;764
SWZ;Eswatini;;;754
SXM;Sint Maarten (Dutch part);;;699
SYC;Seychelles;-4.679574;55.491977;731
SYR;Syrian Arab Republic;34.802075;38.996815;744
TCA;Turks and Caicos Islands;21.694025;-71.797928;823
TCD;Chad;15.454166;18.732207;788
TGO;Togo;8.619543;0.824782;800
THA;Thailand;15.870032;100.992541;776
TJK;Tajikistan;38.861034;71.276093;772
TKL;Tokelau;-8.967363;-171.855881;805
TKM;Turkmenistan;38.969719;59.556278;824
TLS;Timor-Leste;-8.874217;125.727539;795
TON;Tonga;-21.178986;-175.198242;810
TTO;Trinidad and Tobago;10.691803;-61.222503;815
TUN;Tunisia;33.886917;9.537499;820
TUR;Turkey;38.963745;35.243322;827
TUV;Tuvalu;-7.109535;177.64933;828
TWN;Taiwan, Province of China;23.69781;120.960515;161
TZA;Tanzania, United Republic of;-6.369028;34.888822;780
UGA;Uganda;1.373333;32.290275;833
UKR;Ukraine;48.379433;31.16558;831
UMI;United States Minor Outlying Islands;;;490
URY;Uruguay;-32.522779;-55.765835;845
USA;United States of America;37.09024;-95.712891;249
UZB;Uzbekistan;41.377491;64.585262;847
VAT;Holy See;41.902916;12.453389;848
VCT;Saint Vincent and the Grenadines;12.984305;-61.287228;705
VEN;Venezuela (Bolivarian Republic of);6.42375;-66.58973;850
VGB;Virgin Islands (British);18.420695;-64.639968;863
VIR;Virgin Islands (U.S.);18.335765;-64.896335;866
VNM;Viet Nam;14.058324;108.277199;858
VUT;Vanuatu;-15.376706;166.959158;551
WLF;Wallis and Futuna;-13.768752;-177.156097;875
WSM;Samoa;-13.759029;-172.104629;690
YEM;Yemen;15.552727;48.516388;357
ZAF;South Africa;-30.559482;22.937506;756
ZMB;Zambia;-13.133897;27.849332;890
ZWE;Zimbabwe;-19.015438;29.154857;665
