date        sgarchvol 
2000-04-20 0.043198297
2000-04-24 0.042050823
2000-04-25 0.054348597
2000-04-26 0.053696984
2000-04-27 0.052467948
2000-04-28 0.051405567
2000-05-01 0.050031061
2000-05-02 0.050127170
2000-05-03 0.050062025
2000-05-04 0.048767537
2000-05-05 0.047467132
2000-05-08 0.046245218
2000-05-09 0.045222138
2000-05-10 0.044521970
2000-05-11 0.043698311
2000-05-12 0.042908160
2000-05-15 0.041871932
2000-05-16 0.040792737
2000-05-17 0.039708269
2000-05-18 0.039132840
2000-05-19 0.038448706
2000-05-22 0.037645099
2000-05-23 0.036788317
2000-05-24 0.036005345
2000-05-25 0.036048631
2000-05-26 0.037895562
2000-05-30 0.036892039
2000-05-31 0.036597140
2000-06-01 0.035760626
2000-06-02 0.035537774
2000-06-05 0.035118156
2000-06-06 0.034235274
2000-06-07 0.034583797
2000-06-08 0.033778347
2000-06-09 0.033363409
2000-06-12 0.032483306
2000-06-13 0.032305389
2000-06-14 0.031622013
2000-06-15 0.031986290
2000-06-16 0.031699797
2000-06-19 0.030868433
2000-06-20 0.030246461
2000-06-21 0.029685476
2000-06-22 0.033714859
2000-06-23 0.032916474
2000-06-26 0.032682917
2000-06-27 0.032237744
2000-06-28 0.031460809
2000-06-29 0.030633726
2000-06-30 0.030281985
2000-07-03 0.030594224
2000-07-05 0.029790969
2000-07-06 0.029347165
2000-07-07 0.029405731
2000-07-10 0.028775288
2000-07-11 0.028955168
2000-07-12 0.028216934
2000-07-13 0.027672887
2000-07-14 0.026978472
2000-07-17 0.026447987
2000-07-18 0.025865010
2000-07-19 0.025204722
2000-07-20 0.029188296
2000-07-21 0.028878955
2000-07-24 0.029180746
2000-07-25 0.028978914
2000-07-26 0.028697588
2000-07-27 0.028243954
2000-07-28 0.027974427
2000-07-31 0.027257622
2000-08-01 0.026548198
2000-08-02 0.026140588
2000-08-03 0.025549838
2000-08-04 0.025035273
2000-08-07 0.024683488
2000-08-08 0.024199646
2000-08-09 0.027062470
2000-08-10 0.026358299
2000-08-11 0.026185076
2000-08-14 0.025515521
2000-08-15 0.024871839
2000-08-16 0.024305599
2000-08-17 0.023775465
2000-08-18 0.023221473
2000-08-21 0.022708699
2000-08-22 0.022168372
2000-08-23 0.021681351
2000-08-24 0.021201493
2000-08-25 0.020688816
2000-08-28 0.020241112
2000-08-29 0.019836812
2000-08-30 0.019384380
2000-08-31 0.019162210
2000-09-01 0.018697452
2000-09-05 0.018261489
2000-09-06 0.017810736
2000-09-07 0.017534038
2000-09-08 0.017205563
2000-09-11 0.016982585
2000-09-12 0.016663774
2000-09-13 0.016438258
2000-09-14 0.016039556
2000-09-15 0.017719768
2000-09-18 0.018226623
2000-09-19 0.018305223
2000-09-20 0.019204451
2000-09-21 0.018929685
2000-09-22 0.018459732
2000-09-25 0.018335177
2000-09-26 0.019340083
2000-09-27 0.019557384
2000-09-28 0.020549392
2000-09-29 0.020175466
2000-10-02 0.020044922
2000-10-03 0.020085036
2000-10-04 0.022006555
2000-10-05 0.021952811
2000-10-06 0.021396034
2000-10-09 0.020860128
2000-10-10 0.021143501
2000-10-11 0.020654688
2000-10-12 0.020697096
2000-10-13 0.020986074
2000-10-16 0.020641240
2000-10-17 0.024792277
2000-10-18 0.024151260
2000-10-19 0.024227421
2000-10-20 0.050363558
2000-10-23 0.050477575
2000-10-24 0.050317555
2000-10-25 0.049032943
2000-10-26 0.047734313
2000-10-27 0.047913621
2000-10-30 0.047994804
2000-10-31 0.046926205
2000-11-01 0.045679453
2000-11-02 0.044520982
2000-11-03 0.043384025
2000-11-06 0.042780174
2000-11-07 0.041834004
2000-11-08 0.040839846
2000-11-09 0.039915833
2000-11-10 0.039121949
2000-11-13 0.039760550
2000-11-14 0.038847041
2000-11-15 0.038651995
2000-11-16 0.037836159
2000-11-17 0.037030126
2000-11-20 0.036049270
2000-11-21 0.035665307
2000-11-22 0.034765342
2000-11-24 0.033880419
2000-11-27 0.033438295
2000-11-28 0.032636036
2000-11-29 0.033988769
2000-11-30 0.033774114
2000-12-01 0.042625441
2000-12-04 0.041608688
2000-12-05 0.040511348
2000-12-06 0.041759257
2000-12-07 0.042470070
2000-12-08 0.043808326
2000-12-11 0.042990872
2000-12-12 0.044465200
2000-12-13 0.043292396
2000-12-14 0.042384265
2000-12-15 0.041867745
2000-12-18 0.048402733
2000-12-19 0.047560576
2000-12-20 0.048501210
2000-12-21 0.050182204
2000-12-22 0.049954751
2000-12-26 0.051060675
2000-12-27 0.049734131
2000-12-28 0.048458060
2000-12-29 0.048085251
2001-01-02 0.047214395
2001-01-03 0.045953395
2001-01-04 0.050686193
2001-01-05 0.049379997
2001-01-08 0.048158097
2001-01-09 0.046882333
2001-01-10 0.047514381
2001-01-11 0.046465338
2001-01-12 0.046113842
2001-01-16 0.045334308
2001-01-17 0.044319989
2001-01-18 0.043162963
2001-01-19 0.043400501
2001-01-22 0.047841536
2001-01-23 0.046689461
2001-01-24 0.045467344
2001-01-25 0.045118478
2001-01-26 0.044118631
2001-01-29 0.043665832
2001-01-30 0.042532734
2001-01-31 0.041606156
2001-02-01 0.041378142
2001-02-02 0.040555468
2001-02-05 0.039911612
2001-02-06 0.039062392
2001-02-07 0.038085063
2001-02-08 0.037843650
2001-02-09 0.037866282
2001-02-12 0.038648306
2001-02-13 0.037656277
2001-02-14 0.036732149
2001-02-15 0.035763251
2001-02-16 0.034850964
2001-02-20 0.034452207
2001-02-21 0.034053627
2001-02-22 0.033182431
2001-02-23 0.032614680
2001-02-26 0.032374237
2001-02-27 0.033435312
2001-02-28 0.032564652
2001-03-01 0.031746647
2001-03-02 0.030935442
2001-03-05 0.031877246
2001-03-06 0.031169444
2001-03-07 0.031332871
2001-03-08 0.030859535
2001-03-09 0.030559412
2001-03-12 0.031401316
2001-03-13 0.036147236
2001-03-14 0.036509487
2001-03-15 0.035554746
2001-03-16 0.034645299
2001-03-19 0.033916733
2001-03-20 0.033042905
2001-03-21 0.032921295
2001-03-22 0.034063424
2001-03-23 0.037633873
2001-03-26 0.038157749
2001-03-27 0.037208647
2001-03-28 0.037262761
2001-03-29 0.037816474
2001-03-30 0.036824781
2001-04-02 0.035973367
2001-04-03 0.035313212
2001-04-04 0.035838990
2001-04-05 0.035455264
2001-04-06 0.040396353
2001-04-09 0.039396446
2001-04-10 0.038532476
2001-04-11 0.038804975
2001-04-12 0.037793966
2001-04-16 0.037645549
2001-04-17 0.037022496
2001-04-18 0.036122857
2001-04-19 0.038039388
2001-04-20 0.038094694
2001-04-23 0.037209714
2001-04-24 0.036319063
